Type,Results
x_noisy,"[np.float64(-3.1093719648741978), np.float64(-3.1088881800316277), np.float64(-3.1014024521117403), np.float64(-3.089236311096731), np.float64(-3.0978725135253184), np.float64(-3.0873216353742303), np.float64(-3.0855722508520325), np.float64(-3.062563996607694), np.float64(-3.072958514845901), np.float64(-3.0526558297853823), np.float64(-3.0457622737564174), np.float64(-3.0333018893075563), np.float64(-3.020642916319653), np.float64(-2.9934865418374037), np.float64(-2.9951849602786624), np.float64(-2.9781789366836806), np.float64(-2.96479864187038), np.float64(-2.949855222918811)]"
x_exact,"[np.float64(-3.5233642485662866), np.float64(-3.5255454286875834), np.float64(-3.5244079916744173), np.float64(-3.524435838038428), np.float64(-3.5283344545698516), np.float64(-3.528616516616471), np.float64(-3.539547295523201), np.float64(-3.547558462463599), np.float64(-3.5593120096951614), np.float64(-3.554302107512061), np.float64(-3.5864055787393267), np.float64(-3.5917153661031547), np.float64(-3.610584845507541), np.float64(-3.610425738888319), np.float64(-3.649935825876064), np.float64(-3.6764012612450823), np.float64(-3.688251107562896), np.float64(-3.7122091259398355)]"
x_noisy,"[np.float64(-3.1093720683282102), np.float64(-3.1062441254327076), np.float64(-3.0980443580858963), np.float64(-3.1025421276539347), np.float64(-3.096357956676387), np.float64(-3.0888235951578142), np.float64(-3.08736408211143), np.float64(-3.092361395036768), np.float64(-3.0887354501174373), np.float64(-3.083671334861499), np.float64(-3.0929209513917444), np.float64(-3.091059916025162), np.float64(-3.089722524871222), np.float64(-3.089066618013689), np.float64(-3.097242959046116), np.float64(-3.098095513096351), np.float64(-3.099823385074859), np.float64(-3.1032268805352)]"
x_exact,"[np.float64(-3.5233642485662866), np.float64(-3.5217868172587945), np.float64(-3.52361983927297), np.float64(-3.5203999426304486), np.float64(-3.5234161320991064), np.float64(-3.50299999707774), np.float64(-3.5051940362179823), np.float64(-3.4957745144402557), np.float64(-3.4588849799915184), np.float64(-3.4643359414897343), np.float64(-3.4195408577599906), np.float64(-3.4010383191368256), np.float64(-3.3730469290582032), np.float64(-3.342311827649367), np.float64(-3.3269727071087822), np.float64(-3.2798374860144315), np.float64(-3.2484699115769167), np.float64(-3.210716606043196)]"
x_noisy,"[np.float64(-3.1093719648741986), np.float64(-3.1049457841119232), np.float64(-3.1012123450201474), np.float64(-3.092961277350095), np.float64(-3.097106483906126), np.float64(-3.084311355406867), np.float64(-3.0841063334287133), np.float64(-3.075618993502739), np.float64(-3.0545878384903924), np.float64(-3.056513816826076), np.float64(-3.0358032087674443), np.float64(-3.027372001585198), np.float64(-3.0137972858141513), np.float64(-3.0058135031439255), np.float64(-3.0004788725703135), np.float64(-2.9773293748831047), np.float64(-2.9647986418703804), np.float64(-2.9498552229188104)]"
x_exact,"[np.float64(-3.5233642485662866), np.float64(-3.523992871282103), np.float64(-3.5203215662705585), np.float64(-3.5214512221130048), np.float64(-3.509734053250773), np.float64(-3.5091233275334646), np.float64(-3.497642454433467), np.float64(-3.485776483875469), np.float64(-3.461951772801685), np.float64(-3.438011278710125), np.float64(-3.4333681527186193), np.float64(-3.4151977403945906), np.float64(-3.372339912078373), np.float64(-3.361878707080298), np.float64(-3.3344730689238387), np.float64(-3.2836520159769207), np.float64(-3.2484699115769167), np.float64(-3.210716606043196)]"
x_noisy,"[np.float64(-3.1093719648741986), np.float64(-3.105599452734006), np.float64(-3.097581521275322), np.float64(-3.0966732412216853), np.float64(-3.0884070062290556), np.float64(-3.0876154374193288), np.float64(-3.0740299521592584), np.float64(-3.075431397203086), np.float64(-3.0522039577692506), np.float64(-3.0462509696464024), np.float64(-3.0407443111714803), np.float64(-3.035613601117343), np.float64(-3.0200328476338365), np.float64(-3.011476946980401), np.float64(-3.0003214804118468), np.float64(-2.979593124033554), np.float64(-2.96479864187038), np.float64(-2.9498552229188104)]"
x_exact,"[np.float64(-3.523364248566287), np.float64(-3.5229127958996833), np.float64(-3.5189784521832848), np.float64(-3.521655692646259), np.float64(-3.5190919793005078), np.float64(-3.5159076173046637), np.float64(-3.4943571155371633), np.float64(-3.5104051521154953), np.float64(-3.484981987321831), np.float64(-3.454881922936426), np.float64(-3.4676616559178326), np.float64(-3.4059259336513352), np.float64(-3.3950300705717544), np.float64(-3.383357413489934), np.float64(-3.3496739352592306), np.float64(-3.2700623439565986), np.float64(-3.2484699115769167), np.float64(-3.210716606043196)]"
x_noisy,"[np.float64(-3.1093719648741986), np.float64(-3.1070645943016166), np.float64(-3.102658677726438), np.float64(-3.0997146172770442), np.float64(-3.088317023451485), np.float64(-3.0866170175757786), np.float64(-3.0732427604328576), np.float64(-3.0822003951015375), np.float64(-3.064266239513903), np.float64(-3.055212310250975), np.float64(-3.055099871518835), np.float64(-3.03214523747831), np.float64(-3.0259594591833316), np.float64(-3.0234500659206995), np.float64(-3.0044686914653997), np.float64(-2.971369780834267), np.float64(-2.96479864187038), np.float64(-2.9498552229188104)]"
x_exact,"[np.float64(-3.5233642485662866), np.float64(-3.5266387099523553), np.float64(-3.524924707815187), np.float64(-3.5191245774148174), np.float64(-3.5149499090904324), np.float64(-3.513719704101449), np.float64(-3.498961486026651), np.float64(-3.4857301052737495), np.float64(-3.471749015089031), np.float64(-3.452702766372007), np.float64(-3.442025159721922), np.float64(-3.3888635309485746), np.float64(-3.3560589702403893), np.float64(-3.3421834634257808), np.float64(-3.3204001050660508), np.float64(-3.2837030360559707), np.float64(-3.2484699115769167), np.float64(-3.210716606043196)]"
x_noisy,"[np.float64(-3.1093719648741986), np.float64(-3.102981754095027), np.float64(-3.1046942808509943), np.float64(-3.094618661080498), np.float64(-3.091577717441633), np.float64(-3.087231238905367), np.float64(-3.084245758193056), np.float64(-3.069891360104131), np.float64(-3.0651194605703136), np.float64(-3.0491003463391992), np.float64(-3.045048292952091), np.float64(-3.0256277191959806), np.float64(-3.009633457289719), np.float64(-3.0040447821932403), np.float64(-2.992967169731688), np.float64(-2.978227618338059), np.float64(-2.9647986418703796), np.float64(-2.9498552229188104)]"
x_exact,"[np.float64(-3.5233642485662835), np.float64(-3.5243190924125423), np.float64(-3.525650868216211), np.float64(-3.5249744463005954), np.float64(-3.5276755102717443), np.float64(-3.5285228202519874), np.float64(-3.538066619840009), np.float64(-3.5365526151662956), np.float64(-3.5475075024868983), np.float64(-3.564426962388752), np.float64(-3.574942535487423), np.float64(-3.5918476580427092), np.float64(-3.6107285336075985), np.float64(-3.617338722782418), np.float64(-3.647887887109638), np.float64(-3.6602449857487636), np.float64(-3.688251107562893), np.float64(-3.712209125939831)]"
