CGBEM_Zero,CGBEM_Bias,CDRZERO_linear,CDRZERO_nonlinear,CDRZERO_xgb,CDRZERO_mlp,CDRBIASED_linear,CDRBIASED_nonlinear,CDRBIASED_xgb,CDRBIASED_mlp
-3.3255068368546525,-3.5120057955535096,-3.432224256970051,-3.453599590286011,-3.27308988571167,-3.5279025974655402,-3.523863107259086,-3.5179964867053855,-3.5196585655212402,-3.5243023792016963
-3.325506836854651,-3.5120057639315485,-3.4313734852786144,-3.4741437216329416,-3.2817251682281494,-3.4876232596404426,-3.524878927193919,-3.523937082019458,-3.518730878829956,-3.5456284742686823
-3.325506836854648,-3.5120057639315445,-3.423482226822383,-3.4607979149202635,-3.3750672340393066,-3.4819890438161036,-3.5234716375397266,-3.52735757959087,-3.5199289321899414,-3.4981178445728895
-3.3255067970974483,-3.5120057955535096,-3.455211851427771,-3.4715024431609596,-3.2901885509490967,-3.5217229733748985,-3.525523159967282,-3.5243280061946507,-3.5220189094543457,-3.565237326623863
-3.3255068368546516,-3.5120057639315463,-3.449086853490857,-3.472954871256036,-3.3160436153411865,-3.4702899477343956,-3.5250961583898484,-3.5229514254096728,-3.52793025970459,-3.51701802031695
-3.325506797097444,-3.5120057639315445,-3.442654196645961,-3.5011244916229316,-3.378096580505371,-4.333516813239954,-3.5285068684031238,-3.5323537465829986,-3.5293710231781006,-3.5447291653839215
-3.325506836854649,-3.5120057639315445,-3.44885322620154,-3.4718025512964417,-3.3339951038360596,-3.484933543617892,-3.5267900188635126,-3.531238252089395,-3.5240023136138916,-3.541303221142738
-3.325506836854648,-3.5120057955535096,-3.4504649702974426,-3.4648302688339285,-3.3597793579101562,-3.486410216936664,-3.526314424794073,-3.5216174413387478,-3.5201256275177,-3.521847031367005
-3.325506797097448,-3.5120057955535087,-3.4402338980346796,-3.4631115477154886,-3.3615329265594482,-3.5073918277588647,-3.528441897418277,-3.5269829211904096,-3.519949436187744,-3.5189227036197077
-3.325506797097448,-3.5120057639315454,-3.4302694230425685,-3.461036966860739,-3.361283540725708,-3.5158909996833034,-3.5237409264815747,-3.519826284940251,-3.526963233947754,-3.5096404269664836
-3.325506797097444,-3.5120057955535118,-3.4575341937672723,-3.466709775844228,-3.3771839141845703,-3.5123855879231036,-3.5269443203312356,-3.5240974825869955,-3.520982027053833,-3.5443457010350374
-3.325506836854651,-3.512005763931545,-3.4353502446978705,-3.475760129107087,-3.275987386703491,-3.5458755375986875,-3.526402482159139,-3.526140342707075,-3.520503282546997,-3.5372240571714686
-3.3255067970974492,-3.512005795553509,-3.4267719493407562,-3.446741994597101,-3.3741672039031982,-3.512642901847954,-3.525579427834666,-3.527112601371556,-3.528675079345703,-3.518050703845597
-3.3255067970974466,-3.5120057639315445,-3.438855183450822,-3.46416540468816,-3.3572793006896973,-3.5043591412132695,-3.528639200066423,-3.5249198872143666,-3.529306411743164,-3.5438428972152893
-3.325506836854648,-3.512005763931545,-3.468851967666092,-3.4828499967761033,-3.3745267391204834,-3.4944391274514515,-3.5263237735042363,-3.5285999762648004,-3.5219838619232178,-3.4857200247981415
-3.325506836854648,-3.5120057955535104,-3.4436004674428746,-3.4554792600200237,-3.35295033454895,-3.520805861137099,-3.526564465958311,-3.52441236113404,-3.521956443786621,-3.547497928431599
-3.325506797097444,-3.512005763931545,-3.4381027599284852,-3.456525746425527,-3.2876808643341064,-3.510289020735215,-3.523533799989597,-3.525718226910115,-3.5194642543792725,-3.5288713287264715
-3.3255068368546525,-3.5120057955535118,-3.4317416938336613,-3.461647781803766,-3.2556264400482178,-3.549065460395757,-3.5280270427679064,-3.521700427112421,-3.5215036869049072,-3.535709008904452
-3.325506797097446,-3.5120057955535082,-3.442401852114014,-3.4632460579001076,-3.2718958854675293,-3.507696378909399,-3.5285979896502653,-3.5244468476322766,-3.52209210395813,-3.53279040356177
-3.3255067970974466,-3.512005763931547,-3.4551408642840276,-3.4738909821309107,-3.385643482208252,-3.520964904301116,-3.5289183677724725,-3.527221935265402,-3.5293307304382324,-3.545354737002645
