CGBEM_Zero,CGBEM_Bias,CDRZERO_linear,CDRZERO_nonlinear,CDRZERO_xgb,CDRZERO_mlp,CDRBIASED_linear,CDRBIASED_nonlinear,CDRBIASED_xgb,CDRBIASED_mlp
-3.217758040936996,-3.462483747306692,-4.645517465321198,-11.14630183915142,-3.3738236,-17.11318953701757,-3.4513520402532594,2.230438931835863,-3.5219865,-3.6220079550447486
-3.2177580409369924,-3.462483747306692,-4.646545724500683,-11.195883453305214,-3.3555803,-16.563379383237933,-3.4513520402532594,2.230438931835863,-3.5219865,-3.6220079550447486
-3.2177580423190744,-3.462483747306692,-4.645155613079645,-10.886878819817866,-3.379249,-17.461007382818476,-3.4513520402532594,2.230438931835863,-3.5219865,-3.6220079550447486
-3.217758040936996,-3.46248380292237,-4.647273550979669,-11.202438901651476,-3.3752148,-16.57066562225919,-3.451352104960144,-3.1143454753437787,-3.5219865,-3.6220079635171953
-3.2177580423190735,-3.462483802922372,-4.645327421598303,-10.89070568106581,-3.3793173,-17.463462972397775,-3.4513521100623574,-3.276098046616191,-3.5219865,-3.6220079635171984
-3.217758040936998,-3.462483802922371,-4.644754733561896,-10.765865675704845,-3.3795109,-17.456058603451265,-3.451352111368141,-2.8432735061233245,-3.5219865,-3.6220079635171953
-3.217758040936997,-3.462483747306691,-4.645396182396894,-10.768103127293216,-3.3787105,-17.464055764176813,-3.4513520403090396,-6.544001117496876,-3.5219865,-3.6220079550447473
-3.2177580409369972,-3.462483747306692,-4.647055204930524,-11.200178912458796,-3.3480353,-16.56848458854501,-3.4513520402532594,2.230438931835863,-3.5219865,-3.6220079550447486
-3.2177580409369977,-3.4624838029223692,-4.64595930822496,-10.778697344534521,-3.3734727,-17.119098040668074,-3.4513521114275862,-3.442632244102276,-3.5219865,-3.622007963517194
-3.217758040936998,-3.46248380292237,-4.644831114681175,-4.684008133724177,-3.38069,-18.729110247168936,-3.451352104307253,-2.8432735832529517,-3.5219865,-3.6220079635171953
-3.217758042319071,-3.462483747306694,-4.645289874199619,-9.152625853266727,-3.378242,-17.46284511748256,-3.4513520470025774,2.2304387421369825,-3.5219865,-3.622007955044752
-3.217758040936996,-3.46248380292237,-4.644849107453624,-9.952931253144925,-3.379946,-17.97353036456282,-3.451352104960144,-3.1143454753437787,-3.5219865,-3.6220079635171953
-3.2177580409369964,-3.462483747306692,-4.6454313041594375,-10.443817532397588,-3.3803234,-17.981049277239514,-3.4513520402532594,2.230438931835863,-3.5219865,-3.6220079550447486
-3.217758042319075,-3.4624838029223683,-4.644837702822954,-9.150161824079987,-3.3809712,-17.97331714943093,-3.4513521043072513,-1.159739123199195,-3.5219865,-3.6220079635171953
-3.217758042319071,-3.4624837473066936,-4.644835475123308,-10.055301405547652,-3.3804767,-17.973364605400747,-3.451352046139509,-4.0848614992825,-3.5219865,-3.6220079550447486
-3.2177580423190735,-3.4624838029223697,-4.645015849895415,-10.68968737315663,-3.379554,-17.45964421280943,-3.4513521043072513,-3.276098051988795,-3.5219865,-3.622007963517197
-3.217758040936995,-3.4624838029223697,-4.645233316234396,-10.957286846893112,-3.3747735,-17.109907745790846,-3.4513521043072513,-3.276098051988795,-3.5219865,-3.622007963517197
-3.2177580423190717,-3.4624838029223692,-4.645522922636992,-10.753766603060285,-3.377503,-17.46631375836057,-3.4513521107746943,-4.032427771532355,-3.5219865,-3.6220079635171953
-3.217758040936994,-3.4624838029223706,-4.645274631212359,-10.657492197775355,-3.3744361,-17.110535745680426,-3.4513521043072517,-3.1143454670821775,-3.5219865,-3.6220079635171962
-3.2177580409369977,-3.4624838029223715,-4.644614708710392,-10.429144712950801,-3.3780496,-18.077690845234464,-3.451352103886899,-3.4474138281827607,-3.5219865,-3.6220079635171967
