Type,Results
Nonlinear,"[np.float64(-3.5833511298926446), np.float64(-3.5849851115964206), np.float64(-3.5865147070436407), np.float64(-3.5856337136384155), np.float64(-3.585095422588978), np.float64(-3.5850957944517603)]"
Nonlinear,"[np.float64(-3.581225201114229), np.float64(-3.5842349956619657), np.float64(-3.5847839108865145), np.float64(-3.585416275609049), np.float64(-3.5854512879231493), np.float64(-3.585291775252358)]"
Nonlinear,"[np.float64(-3.5846285756920686), np.float64(-3.581039638938421), np.float64(-3.581768119500289), np.float64(-3.584375639414075), np.float64(-3.5845209556903157), np.float64(-3.5845471546752705)]"
Nonlinear,"[np.float64(-3.581224956177948), np.float64(-3.582233308007556), np.float64(-3.584400913694715), np.float64(-3.584711793919695), np.float64(-3.5850848678762475), np.float64(-3.584996917328695)]"
Nonlinear,"[np.float64(-3.5833428685311794), np.float64(-3.580287069191513), np.float64(-3.584103913739881), np.float64(-3.584901499571721), np.float64(-3.5846524213220547), np.float64(-3.5847708425229285)]"
Nonlinear,"[np.float64(-3.584453805967023), np.float64(-3.5880327720969944), np.float64(-3.5877180767120933), np.float64(-3.585880642253798), np.float64(-3.5853664445257607), np.float64(-3.585181952372409)]"
Nonlinear,"[np.float64(-3.5812590929019166), np.float64(-3.5813895968492773), np.float64(-3.5834241743181607), np.float64(-3.584233736877529), np.float64(-3.5847981897522097), np.float64(-3.5846092430949987)]"
Nonlinear,"[np.float64(-3.5825794223023664), np.float64(-3.5786182124920174), np.float64(-3.582354699697282), np.float64(-3.5829395927357957), np.float64(-3.584202067431562), np.float64(-3.58448166581789)]"
XGB,"[np.float32(-3.5505214), np.float32(-3.5571206), np.float32(-3.5573065), np.float32(-3.5584996), np.float32(-3.5615466), np.float32(-3.5621705)]"
XGB,"[np.float32(-3.5478656), np.float32(-3.55129), np.float32(-3.555281), np.float32(-3.5573676), np.float32(-3.5613816), np.float32(-3.56208)]"
XGB,"[np.float32(-3.5506215), np.float32(-3.553205), np.float32(-3.5559483), np.float32(-3.5589693), np.float32(-3.559736), np.float32(-3.5693312)]"
XGB,"[np.float32(-3.5495605), np.float32(-3.550621), np.float32(-3.5559077), np.float32(-3.5559328), np.float32(-3.558637), np.float32(-3.562351)]"
XGB,"[np.float32(-3.5497518), np.float32(-3.5507865), np.float32(-3.5571964), np.float32(-3.5560074), np.float32(-3.559802), np.float32(-3.5697248)]"
XGB,"[np.float32(-3.550349), np.float32(-3.5558565), np.float32(-3.5559297), np.float32(-3.5560386), np.float32(-3.5587964), np.float32(-3.5604012)]"
XGB,"[np.float32(-3.5480733), np.float32(-3.5558085), np.float32(-3.5575178), np.float32(-3.5589595), np.float32(-3.559583), np.float32(-3.569591)]"
XGB,"[np.float32(-3.549677), np.float32(-3.5511038), np.float32(-3.5560095), np.float32(-3.55729), np.float32(-3.5592334), np.float32(-3.5697281)]"
XGB,"[np.float32(-3.549703), np.float32(-3.5533469), np.float32(-3.5564675), np.float32(-3.5560462), np.float32(-3.55869), np.float32(-3.5696561)]"
XGB,"[np.float32(-3.5480306), np.float32(-3.5559819), np.float32(-3.5560017), np.float32(-3.5560129), np.float32(-3.5587316), np.float32(-3.5605943)]"
